"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT04","WT06","WT08","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-01","3.13"," 0001"," 1310","0.00","0.0","12",,"53","40","  250","  200","12.1","16.1",,,,,"    1",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-02","5.14"," 2232"," 2319","0.01","0.0","9",,"52","35","  290","  270","19.9","28.0","    1",,,,"    1",,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-03","8.72"," 0222"," 0219","0.00","0.0","6",,"36","28","  290","  280","21.0","30.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-04","6.26"," 1715"," 1448","0.00","0.0","5",,"40","30","  250","  200","13.0","17.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-05","6.26"," 0247"," 1459","0.00","0.0","4",,"39","29","  270","  300","15.0","19.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-06","2.68"," 1821"," 1820","0.00","0.0","2",,"33","26","  260","  270","8.9","13.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-07","4.92"," 1835"," 0545","0.19","1.7","1",,"33","25","  270","  120","12.1","16.1","    1","    1",,,"    1",,,,,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-08","4.03"," 2257"," 2256","0.00","0.0","3",,"31","23","  260","  260","12.1","15.0",,,,,"    1",,,,,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-09","11.18"," 0500"," 0453","0.00","0.0","2",,"32","26","  290","  300","21.0","29.1",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-10","8.72"," 1109"," 0519","0.00","0.0","2",,"35","24","  290","  270","17.9","25.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-11","5.82"," 2028"," 2028","0.25","3.0","2",,"31","23","   50","   50","15.0","17.9","    1","    1",,,"    1",,"    1",,,,"    1",,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-12","11.41"," 1559"," 2015","0.61","6.1","9",,"31","24","  270","  300","21.0","30.0","    1","    1",,,"    1",,,,,,"    1",,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-13","10.51"," 0441"," 1832","0.00","0.0","8",,"30","18","  290","  290","17.0","25.1",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-14","5.82"," 2115"," 2146","0.00","0.0","7",,"30","18","  280","  280","10.1","14.1",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-15","4.70"," 1756"," 1241","0.00","0.0","6",,"38","23","  230","  230","16.1","23.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-16","8.05"," 1127"," 1118","0.00","0.0","5",,"37","26","  290","  320","17.0","23.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-17","6.93"," 0253"," 0252","0.00","0.0","4",,"27","19","  330","  320","14.1","19.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-18","9.84"," 1518"," 1517","1.27","1.0","5",,"41","24","   60","   60","21.9","31.1","    1",,,,,,,,"    1","    1","    1","    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-19","5.59"," 2002"," 2127","0.07","0.0","2",,"41","35","  270","  310","14.1","17.9","    1",,,,,,"    1",,"    1",,,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-20","6.71"," 1055"," 0420","0.00","0.0","1",,"35","30","  260","  290","14.1","21.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-21","8.95"," 1112"," 1611","0.41","4.2","6",,"32","18","  300","  290","21.0","28.0","    1","    1",,,"    1",,"    1",,,,"    1",,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-22","5.82"," 0137"," 0259","0.00","0.0","6",,"24","13","  300","  270","14.1","19.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-23","9.62"," 1141"," 1729","0.00","0.0","6",,"24","11","  290","  290","19.9","25.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-24","5.82"," 0042"," 0042","0.00","0.0","6",,"24","6","  280","  300","14.1","17.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-25","3.80"," 0416"," 0340","0.05","1.0","6",,"37","24","  230","  210","14.1","19.9","    1","    1",,,"    1",,,,,,"    1",,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-26","9.40"," 1935"," 1935","1.29","12.3","4",,"35","30","   20","   20","21.9","36.9","    1","    1",,,"    1",,,,"    1",,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-27","3.36"," 1228"," 1227","0.77","6.7","23",,"36","29","  300","  290","14.1","21.9","    1","    1",,,"    1",,,,,,"    1",,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-28","3.58"," 1711"," 1248","0.00","0.0","20",,"34","28","  140","  240","10.1","14.1","    1",,,,"    1",,"    1",,,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-29","4.25"," 1029"," 1455","0.01","0.0","19",,"36","29","  270","  240","12.1","16.1","    1",,,,"    1",,"    1",,,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-30","5.59"," 1443"," 1516","0.00","0.0","18",,"39","27","  270","  250","15.0","21.0",,,,,"    1",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-01-31","5.82"," 2139"," 2014","0.00","0.0","17",,"31","22","   60","   40","12.1","16.1",,,,,,,,,,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-01","8.95"," 2208"," 2142","0.17","1.1","18",,"30","25","   40","   50","16.1","21.9","    1",,,,,,,,"    1","    1","    1","    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-02","6.49"," 2126"," 2051","0.70","0.5","17",,"38","27","  270","  270","21.9","38.0","    1",,,,,,"    1",,"    1","    1",,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-03","8.95"," 0828"," 0826","0.00","0.0","16",,"34","24","  290","  290","19.9","25.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-04","6.04"," 1143"," 1517","0.00","0.0","16",,"34","23","  230","  270","16.1","21.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-05","5.59"," 2112"," 2111","0.21","0.0","15",,"43","31","  240","  220","19.9","30.0","    1","    1",,,"    1",,,,,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-06","6.93"," 0118"," 0057","0.00","0.0","15",,"45","37","  250","  230","21.9","33.1",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-07","4.70"," 1430"," 1828","0.13","0.0","13",,"45","36","  140","  170","13.0","16.1","    1",,,,"    1",,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-08","12.30"," 1832"," 2104","0.11","0.0","11",,"41","18","  300","  270","23.0","38.9","    1",,,,,,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-09","8.05"," 0427"," 0156","0.00","0.0","10",,"29","15","  270","  290","16.1","28.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-10","7.83"," 0906"," 0918","0.00","0.0","10",,"29","22","  290","  300","16.1","21.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-11","6.04"," 1142"," 1400","0.00","0.0","8",,"37","19","  240","  200","15.0","19.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-12","8.50"," 1630"," 1527","0.00","0.0","8",,"40","30","  270","  270","19.9","34.9",,,,,"    1",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-13","7.83"," 2355"," 2354","0.00","0.0","8",,"46","28","  220","  220","17.0","25.1",,,,,,,,,,,,,
